"county","state","mean_household_income","pctile","race","deaths","population","crude_rate"
"Asotin","WA",58998,45,"White",23,4218,545.282124229493
"Atascosa","TX",69844,77,"White",68,11646,583.891464880646
"Atchison","KS",58862,45,"White",26,3391,766.73547626069
"Athens","OH",50089,17,"White",72,9540,754.716981132075
"Atkinson","GA",47994,12,"White",16,2092,764.818355640535
"Atlantic","NJ",74847,85,"Black or African American",221,14112,1566.04308390023
"Atlantic","NJ",74847,85,"White",272,39747,684.328376984427
"Atoka","OK",52810,25,"White",18,2197,819.299044151115
"Attala","MS",51192,20,"White",11,2404,457.57071547421
"Attala","MS",51192,20,"Black or African American",35,2291,1527.71715408119
"Audrain","MO",52329,23,"White",31,5556,557.955363570914
"Auglaize","OH",66672,69,"White",58,10551,549.710927874135
"Augusta","VA",72805,82,"White",64,12193,524.89133109161
"Austin","TX",73091,82,"White",30,5425,552.995391705069
"Autauga","AL",67651,72,"White",56,8989,622.983646679275
"Autauga","AL",67651,72,"Black or African American",32,2181,1467.21687299404
"Avery","NC",56130,35,"White",19,2762,687.907313540912
"Bacon","GA",48759,13,"White",15,2035,737.100737100737
"Bailey","TX",48916,14,"White",15,2189,685.244403837369
"Baker","FL",66066,68,"White",53,5505,962.761126248865
"Baker","OR",55214,32,"White",28,2802,999.286224125625
"Baldwin","AL",70277,78,"Black or African American",69,4811,1434.21326127624
"Baldwin","AL",70277,78,"White",173,31807,543.90542962241
"Baldwin","GA",51050,19,"Black or African American",69,4834,1427.38932561026
"Baldwin","GA",51050,19,"White",21,3972,528.700906344411
"Ballard","KY",59082,46,"White",10,1459,685.400959561343
"Baltimore","MD",91300,95,"White",287,46968,611.054334866292
"Baltimore","MD",91300,95,"Black or African American",1615,107284,1505.35028522426
"Baltimore","MD",91300,95,"White",531,104307,509.074175271075
"Baltimore","MD",91300,95,"Black or African American",639,54617,1169.96539538971
"Bamberg","SC",45609,7,"Black or African American",27,2288,1180.06993006993
"Bandera","TX",69329,76,"White",15,3228,464.684014869888
"Banks","GA",49065,14,"White",21,3784,554.968287526427
"Bannock","ID",61059,52,"White",131,21861,599.240656877544
"Barbour","AL",45280,7,"White",20,2776,720.461095100865
"Barbour","AL",45280,7,"Black or African American",37,3123,1184.75824527698
"Barbour","WV",47297,10,"White",22,3008,731.382978723404
"Barnes","ND",76888,87,"White",14,1884,743.099787685775
"Barnstable","MA",87236,94,"White",121,29352,412.237666939221
"Barnstable","MA",87236,94,"Black or African American",24,1957,1226.36688809402
"Barnwell","SC",49210,14,"White",16,2505,638.72255489022
"Barnwell","SC",49210,14,"Black or African American",42,2802,1498.92933618844
"Barren","KY",49774,16,"White",58,8855,654.997176736307
"Barron","WI",60226,50,"White",41,8870,462.232243517475
"Barrow","GA",64241,63,"White",73,15155,481.689211481359
"Barrow","GA",64241,63,"Black or African American",20,2089,957.395883197702
"Barry","MI",66598,69,"White",66,11922,553.598389531958
"Barry","MO",49277,14,"White",57,7949,717.07132972701
"Bartholomew","IN",71324,80,"Black or African American",11,727,1513.0674002751
"Bartholomew","IN",71324,80,"White",140,16965,825.228411435308
"Barton","KS",60658,51,"White",52,6196,839.251129761136
"Barton","MO",55050,32,"White",13,2778,467.96256299496
"Bartow","GA",63275,60,"White",133,21027,632.520093213487
"Bartow","GA",63275,60,"Black or African American",39,2663,1464.51370634623
"Bastrop","TX",72277,81,"Black or African American",16,1473,1086.21860149355
"Bastrop","TX",72277,81,"White",69,15107,456.741907724896
"Bates","MO",54498,30,"White",16,3655,437.756497948016
"Bath","KY",50179,17,"White",21,2903,723.389596968653
"Baxter","AR",51008,19,"White",46,6530,704.441041347626
"Bay","FL",63996,62,"White",211,30671,687.946268462065
"Bay","FL",63996,62,"Black or African American",101,6401,1577.87845649117
"Bay","MI",58563,44,"White",120,19975,600.750938673342
"Bayfield","WI",59687,48,"White",16,1856,862.068965517241
"Beadle","SD",59050,46,"White",30,3977,754.337440281619
"Beaufort","NC",55513,33,"White",46,6343,725.208891691629
"Beaufort","NC",55513,33,"Black or African American",46,3481,1321.45935076128
"Beaufort","SC",82449,92,"Black or African American",102,10064,1013.51351351351
"Beaufort","SC",82449,92,"White",92,25962,354.364070564671
"Beaver","PA",66105,68,"White",152,27833,546.114324722452
"Beaver","PA",66105,68,"Black or African American",40,3991,1002.25507391631
"Beaver","UT",60471,50,"White",13,1923,676.027041081643
"Beaverhead","MT",61407,53,"White",10,1595,626.959247648903
"Becker","MN",66607,69,"White",37,5782,639.91698374265
"Beckham","OK",72991,82,"White",45,5079,886.001181334909
"Bedford","PA",57471,40,"White",69,9301,741.855714439308
"Bedford","TN",57970,41,"White",89,9941,895.282164772156
"Bedford","TN",57970,41,"Black or African American",17,1218,1395.73070607553
"Bedford","VA",72696,82,"White",48,10612,452.318130418394
"Bedford","VA",72696,82,"Black or African American",11,862,1276.10208816705
"Bee","TX",60079,49,"White",47,6565,715.917745620716
"Belknap","NH",78649,89,"White",45,9955,452.034153691612
"Bell","KY",32901,1,"White",52,5973,870.58429599866
"Bell","TX",66128,68,"Black or African American",344,27873,1234.16926775015
"Bell","TX",66128,68,"White",443,68658,645.227067493955
"Belmont","OH",58872,45,"White",82,12054,680.272108843537
"Belmont","OH",58872,45,"Black or African American",11,622,1768.48874598071
"Beltrami","MN",59322,47,"White",42,6605,635.881907645723
"Benewah","ID",53949,29,"White",12,1611,744.87895716946
"Bennington","VT",70227,78,"White",41,5964,687.458081824279
"Bent","CO",48719,13,"White",11,958,1148.2254697286
"Benton","AR",79310,90,"Black or African American",11,1208,910.596026490066
"Benton","AR",79310,90,"White",299,50039,597.533923539639
"Benton","IA",76702,87,"White",17,5392,315.281899109792
"Benton","IN",58516,44,"White",10,1910,523.560209424084
"Benton","MN",64567,64,"White",52,9481,548.465351756144
"Benton","MO",43671,5,"White",21,2922,718.685831622177
"Benton","MS",50289,17,"White",14,1191,1175.48278757347
"Benton","MS",50289,17,"Black or African American",10,818,1222.49388753056
"Benton","OR",71942,81,"White",43,11879,361.983331930297
"Benton","TN",46743,9,"White",19,2845,667.838312829526
"Benton","WA",78519,89,"White",221,39692,556.787261916759
"Benzie","MI",59606,47,"White",19,3063,620.306888671237
"Bergen","NJ",121712,100,"Black or African American",103,14120,729.461756373938
"Bergen","NJ",121712,100,"White",442,131175,336.954450161997
"Berkeley","SC",69261,75,"White",170,30263,561.742061262928
"Berkeley","SC",69261,75,"Black or African American",144,11846,1215.60020260003
"Berkeley","WV",69677,77,"White",155,20810,744.834214320038
"Berkeley","WV",69677,77,"Black or African American",39,1961,1988.78123406425
"Berks","PA",73165,82,"White",504,74176,679.46505608283
"Berks","PA",73165,82,"Black or African American",104,9569,1086.84293029575
"Berkshire","MA",71731,80,"White",74,19082,387.800020962163
"Berkshire","MA",71731,80,"Black or African American",15,1560,961.538461538462
"Bernalillo","NM",67191,70,"White",768,125828,610.356995263375
"Bernalillo","NM",67191,70,"Black or African American",62,8235,752.884031572556
"Berrien","GA",43021,4,"White",23,3652,629.791894852136
"Berrien","GA",43021,4,"Black or African American",15,722,2077.56232686981
"Berrien","MI",64385,63,"Black or African American",149,9474,1572.72535359932
"Berrien","MI",64385,63,"White",151,24768,609.657622739018
"Bertie","NC",42295,3,"Black or African American",51,2800,1821.42857142857
"Bexar","TX",71023,79,"White",2513,398128,631.204034883254
"Bexar","TX",71023,79,"Black or African American",373,40454,922.0349038414
"Bibb","AL",53863,28,"Black or African American",19,1075,1767.44186046512
"Bibb","AL",53863,28,"White",37,3894,950.179763739086
"Bibb","GA",56590,37,"Black or African American",458,25532,1793.82735390882
"Bibb","GA",56590,37,"White",122,14656,832.423580786026
"Bingham","ID",60095,49,"White",62,12190,508.613617719442
"Blackford","IN",51489,21,"White",18,2689,669.393826701376
"Bladen","NC",45075,6,"Black or African American",47,2617,1795.94956056553
"Bladen","NC",45075,6,"White",28,4398,636.653024101865
"Blaine","ID",79875,90,"White",29,4211,688.672524341012
"Blaine","OK",57742,41,"White",12,2048,585.9375
"Blair","PA",58288,43,"Black or African American",12,994,1207.24346076459
"Blair","PA",58288,43,"White",138,24464,564.094179202093
"Blanco","TX",77041,87,"White",16,1797,890.372843628269
"Bleckley","GA",55200,32,"Black or African American",18,800,2250
"Bledsoe","TN",52806,25,"White",11,2203,499.319110304131
"Blount","AL",56439,36,"White",82,12409,660.810701909904
"Blount","TN",66295,69,"White",130,21700,599.078341013825
"Blount","TN",66295,69,"Black or African American",14,1033,1355.27589545015
"Bolivar","MS",42568,3,"Black or African American",104,7341,1416.70072197248
"Bolivar","MS",42568,3,"White",16,2589,617.999227500966
"Bollinger","MO",50395,18,"White",22,2566,857.365549493375
"Bond","IL",63525,61,"White",20,3082,648.929266709929
"Bonner","ID",57696,41,"White",50,7089,705.318098462407
"Bonneville","ID",71306,80,"White",174,30553,569.502176545675
"Boone","AR",52517,24,"White",58,7731,750.226361402147
"Boone","IA",66411,69,"White",26,5230,497.131931166348
"Boone","IL",78323,89,"White",53,11026,480.682024306185
"Boone","IN",105791,98,"White",72,12127,593.716500371073
"Boone","KY",85590,93,"Black or African American",10,1235,809.716599190283
"Boone","KY",85590,93,"White",154,26242,586.845514823565
"Boone","MO",68998,75,"Black or African American",65,5795,1121.65660051769
"Boone","MO",68998,75,"White",138,27683,498.500885019687
"Boone","WV",50639,18,"White",40,5680,704.225352112676
"Bosque","TX",61922,55,"White",22,3163,695.542206765729
"Botetourt","VA",80008,90,"White",47,4968,946.054750402576
"Boulder","CO",99755,97,"White",266,53899,493.515649640995
"Bourbon","KS",53722,28,"White",28,3644,768.386388583974
"Bourbon","KY",58989,45,"White",24,3906,614.439324116743
"Bowie","TX",62975,59,"White",84,14054,597.694606517717
"Bowie","TX",62975,59,"Black or African American",78,6623,1177.71402687604
"Boyd","KY",64615,64,"White",75,10040,747.011952191235
"Boyle","KY",59652,47,"White",29,4829,600.538413750259
"Bracken","KY",52167,23,"White",15,1816,825.991189427313
"Bradford","FL",54638,31,"White",34,4441,765.593334834497
"Bradford","FL",54638,31,"Black or African American",18,1305,1379.31034482759
"Bradford","PA",64612,64,"White",79,12914,611.739197769862
"Bradley","AR",48472,13,"White",11,1849,594.916170903191
"Bradley","AR",48472,13,"Black or African American",15,903,1661.12956810631
"Bradley","TN",61684,54,"White",133,19239,691.304121835854
"Bradley","TN",61684,54,"Black or African American",11,1579,696.643445218493
"Branch","MI",57172,39,"White",71,9988,710.853023628354
"Brantley","GA",47225,10,"White",24,3672,653.59477124183
"Braxton","WV",48715,13,"White",18,2916,617.283950617284
"Brazoria","TX",89752,95,"White",336,67698,496.321900203847
"Brazoria","TX",89752,95,"Black or African American",74,8897,831.741036304372
"Brazos","TX",64808,65,"White",160,34641,461.880430703502
"Brazos","TX",64808,65,"Black or African American",55,6979,788.07852127812
"Breathitt","KY",38693,2,"White",25,2987,836.960160696351
"Breckinridge","KY",52786,25,"White",30,4042,742.20682830282
"Bremer","IA",79055,89,"White",18,4463,403.316155052655
"Brevard","FL",66819,70,"White",406,74104,547.878657022563
"Brevard","FL",66819,70,"Black or African American",176,15803,1113.71258621781
"Brewster","TX",58670,44,"White",10,1993,501.756146512795
"Bristol","MA",77067,87,"Black or African American",73,9613,759.38832830542
"Bristol","MA",77067,87,"White",491,96632,508.113254408477
"Bristol","RI",103063,98,"White",22,7319,300.587511955185
"Bronx","NY",51445,21,"White",1247,180595,690.495307179047
"Bronx","NY",51445,21,"Black or African American",1198,187554,638.749373513761
"Brooke","WV",56591,37,"White",21,3525,595.744680851064
"Brookings","SD",68772,74,"White",38,6113,621.62604285948
"Brooks","GA",47276,10,"Black or African American",20,1892,1057.08245243129
"Brooks","GA",47276,10,"White",12,1955,613.81074168798
"Broome","NY",63302,60,"Black or African American",42,4030,1042.18362282878
"Broome","NY",63302,60,"White",228,32715,696.928014672169
"Broomfield","CO",105718,98,"White",34,8209,414.179559020587
"Broward","FL",75330,85,"White",902,222026,406.25872645546
"Broward","FL",75330,85,"Black or African American",1397,147564,946.707869127972
"Brown","KS",56133,35,"White",11,1876,586.3539445629
"Brown","MN",67080,70,"White",21,5232,401.376146788991
"Brown","OH",60376,50,"White",78,9599,812.584644233774
"Brown","SD",69370,76,"White",44,7748,567.888487351575
"Brown","TX",57021,38,"White",78,7689,1014.43620756925
"Brown","WI",71438,80,"Black or African American",37,3512,1053.53075170843
"Brown","WI",71438,80,"White",289,49681,581.711318210181
"Brunswick","NC",64902,65,"White",96,15020,639.147802929427
"Brunswick","NC",64902,65,"Black or African American",26,2750,945.454545454545
"Brunswick","VA",50146,17,"Black or African American",26,1812,1434.87858719647
"Bryan","GA",81855,92,"White",30,5854,512.470105910489
"Bryan","GA",81855,92,"Black or African American",10,1330,751.87969924812
"Bryan","OK",53846,28,"White",46,7300,630.13698630137
"Buchanan","IA",76745,87,"White",30,5428,552.689756816507
"Buchanan","MO",58061,42,"White",151,18609,811.435326992316
"Buchanan","MO",58061,42,"Black or African American",22,1897,1159.72588297312
"Buchanan","VA",43256,4,"White",37,3965,933.165195460277
"Buckingham","VA",54044,29,"Black or African American",13,1092,1190.47619047619
"Buckingham","VA",54044,29,"White",14,1853,755.531570426336
"Bucks","PA",104418,98,"White",470,101824,461.580766813325
"Bucks","PA",104418,98,"Black or African American",64,7790,821.566110397946
"Buffalo","NE",69582,76,"White",66,10921,604.34026188078
"Buffalo","WI",62397,57,"White",15,2539,590.783773139031
"Bullitt","KY",67730,72,"White",85,14205,598.380851812742
"Bulloch","GA",53617,28,"Black or African American",75,5361,1398.99272523783
"Bulloch","GA",53617,28,"White",61,8758,696.506051609957
"Bullock","AL",41123,3,"Black or African American",24,1916,1252.60960334029
"Buncombe","NC",65336,66,"White",257,41099,625.319350835787
"Buncombe","NC",65336,66,"Black or African American",68,4883,1392.58652467745
"Bureau","IL",64725,65,"White",37,6389,579.12036312412
"Burke","GA",49956,16,"Black or African American",45,3866,1163.99379203311
"Burke","GA",49956,16,"White",18,2499,720.288115246098
"Burke","NC",51240,20,"White",120,14416,832.408435072142
"Burke","NC",51240,20,"Black or African American",11,1172,938.566552901024
"Burleigh","ND",85431,93,"White",97,16525,586.989409984871
"Burleson","TX",67280,71,"White",15,3080,487.012987012987
"Burlington","NJ",101279,98,"White",304,65912,461.221021968685
"Burlington","NJ",101279,98,"Black or African American",168,17515,959.177847559235
"Burnet","TX",70619,78,"White",46,8307,553.749849524497
"Butler","AL",46699,9,"White",11,2236,491.949910554562
"Butler","AL",46699,9,"Black or African American",30,2446,1226.49223221586
"Butler","IA",65011,66,"White",12,3024,396.825396825397
"Butler","KS",75022,85,"White",85,13333,637.515937898448
"Butler","KY",49438,15,"White",25,2833,882.456759618779
"Butler","MO",50009,16,"Black or African American",20,1056,1893.93939393939
"Butler","MO",50009,16,"White",79,8639,914.457691862484
"Butler","OH",76687,87,"White",547,72303,756.538456218967
"Butler","OH",76687,87,"Black or African American",108,9305,1160.66630843632
"Butler","PA",82307,92,"White",167,33497,498.552109144102
"Butte","CA",63127,59,"White",200,36502,547.915182729713
"Butte","CA",63127,59,"Black or African American",17,1590,1069.18238993711
"Butte","SD",62328,57,"White",18,2126,846.660395108184
"Butts","GA",55858,34,"White",28,3492,801.832760595647
"Butts","GA",55858,34,"Black or African American",22,1345,1635.68773234201
"Cabarrus","NC",75566,86,"Black or African American",79,7196,1097.83212896053
"Cabarrus","NC",75566,86,"White",177,31938,554.198760097689
"Cabell","WV",55467,33,"Black or African American",28,1616,1732.67326732673
"Cabell","WV",55467,33,"White",154,18857,816.672853582224
"Cache","UT",67253,71,"White",171,39034,438.079622892863
"Caddo","OK",53606,28,"White",35,3987,877.853022322548
"Calaveras","CA",75402,85,"White",25,6128,407.963446475196
"Caldwell","KY",56693,37,"White",17,2423,701.60957490714
"Caldwell","MO",56054,35,"White",16,1915,835.509138381201
"Caldwell","NC",50250,17,"White",124,14662,845.72363933979
"Caldwell","NC",50250,17,"Black or African American",12,1127,1064.77373558119
"Caldwell","TX",62620,58,"White",39,8125,480
"Caldwell","TX",62620,58,"Black or African American",11,584,1883.56164383562
"Caledonia","VT",60787,51,"White",24,5434,441.663599558336
"Calhoun","AL",55559,33,"Black or African American",91,6411,1419.43534549992
"Calhoun","AL",55559,33,"White",132,18243,723.565203091597
"Calhoun","FL",49059,14,"White",15,2463,609.013398294762
"Calhoun","MI",58561,44,"Black or African American",81,5705,1419.80718667835
"Calhoun","MI",58561,44,"White",195,24579,793.360185524228
"Calhoun","MS",41424,3,"White",15,2147,698.649278062413
"Calhoun","MS",41424,3,"Black or African American",20,1164,1718.21305841924
"Calhoun","SC",54547,30,"Black or African American",18,1543,1166.55865197667
"Calhoun","TX",66127,68,"White",28,5182,540.33191817831
"Calhoun","WV",49000,14,"White",10,1543,648.088139987038
"Callahan","TX",54459,30,"White",15,2610,574.712643678161
"Callaway","MO",61655,54,"White",62,8485,730.701237477902
"Calloway","KY",51352,20,"White",26,6168,421.530479896239
"Calumet","WI",80494,90,"White",39,9856,395.698051948052
"Calvert","MD",111784,99,"Black or African American",23,2493,922.583233052547
"Calvert","MD",111784,99,"White",69,14586,473.056355409297
"Cambria","PA",56573,37,"Black or African American",26,1815,1432.50688705234
"Cambria","PA",56573,37,"White",146,23260,627.687016337059
"Camden","GA",64759,65,"White",53,10714,494.67985812955
"Camden","GA",64759,65,"Black or African American",32,3057,1046.77788681714
"Camden","MO",61659,54,"White",42,7235,580.511402902557
"Camden","NJ",83556,93,"Black or African American",513,30756,1667.96722590714
"Camden","NJ",83556,93,"White",518,80070,646.933932808792
"Cameron","TX",50150,17,"White",761,132936,572.45591863754
"Camp","TX",54547,30,"White",19,2477,767.056923698022
"Campbell","KY",74223,84,"White",136,19218,707.669892808825
"Campbell","TN",48118,12,"White",51,8091,630.329996292176
"Campbell","VA",60415,50,"Black or African American",21,1543,1360.98509397278
"Campbell","VA",60415,50,"White",41,8546,479.756611280131
"Campbell","WY",89664,95,"White",76,11534,658.921449627189
"Canadian","OK",80737,91,"White",142,22308,636.542944235252
"Candler","GA",47357,10,"White",14,1937,722.767165720186
"Candler","GA",47357,10,"Black or African American",14,745,1879.19463087248
"Cannon","TN",56043,35,"White",19,2531,750.69142631371
"Canyon","ID",53974,29,"White",365,52373,696.923987550837
"Carbon","MT",67796,72,"White",10,1518,658.761528326746
"Carbon","PA",62464,57,"White",58,10572,548.618993567915
"Carbon","UT",57393,40,"White",21,5156,407.292474786656
"Carbon","WY",68721,74,"White",30,3439,872.346612387322
"Caribou","ID",67520,71,"White",13,1793,725.041829336308
"Carlton","MN",65280,66,"White",30,5964,503.018108651911
"Caroline","MD",63106,59,"Black or African American",23,1307,1759.75516449885
"Caroline","MD",63106,59,"White",42,5746,730.943264879916
"Caroline","VA",69369,76,"Black or African American",22,1657,1327.70066385033
"Caroline","VA",69369,76,"White",22,4417,498.075616934571
"Carroll","AR",50812,19,"White",48,5754,834.202294056309
"Carroll","GA",60352,50,"Black or African American",55,5302,1037.34439834025
"Carroll","GA",60352,50,"White",133,20938,635.208711433757
"Carroll","IA",66187,68,"White",17,4654,365.277180919639
"Carroll","IL",60999,52,"White",19,2681,708.690787019769
"Carroll","IN",64717,65,"White",16,3985,401.505646173149
"Carroll","KY",56624,37,"White",18,2602,691.775557263643
"Carroll","MD",104584,98,"White",116,29602,391.86541449902
"Carroll","MD",104584,98,"Black or African American",15,1136,1320.42253521127
"Carroll","MO",59103,46,"White",11,1931,569.653029518384
"Carroll","MS",58261,43,"White",11,1315,836.501901140684
"Carroll","NH",75792,86,"White",42,6632,633.29312424608
"Carroll","OH",63061,59,"White",26,5605,463.871543264942
"Carroll","TN",48981,14,"White",57,5235,1088.82521489971
"Carroll","VA",48381,12,"White",30,5302,565.8242172765
"Carter","KY",48353,12,"White",35,6246,560.358629522895
"Carter","MO",51876,22,"White",11,1368,804.093567251462
"Carter","OK",62226,56,"White",45,8345,539.245056920312
"Carter","TN",46231,8,"White",92,10133,907.924602782986
"Carteret","NC",66223,68,"Black or African American",17,1207,1408.45070422535
"Carteret","NC",66223,68,"White",64,9814,652.129610760139
"Carver","MN",115628,99,"White",74,20013,369.759656223455
"Cascade","MT",61960,55,"White",98,17223,569.00656099402
"Casey","KY",44973,6,"White",37,3841,963.290809684978
"Cass","IL",62261,56,"White",22,2951,745.509996611318
"Cass","IN",57309,39,"White",84,9049,928.279367885954
"Cass","MI",64564,64,"White",55,8463,649.88774666194
"Cass","MN",61510,54,"White",20,3937,508.001016002032
"Cass","MO",76902,87,"Black or African American",13,881,1475.59591373439
"Cass","MO",76902,87,"White",105,20510,511.945392491468
"Cass","ND",75694,86,"Black or African American",16,2389,669.736291335287
"Cass","ND",75694,86,"White",171,32992,518.307468477207
"Cass","NE",79049,89,"White",30,5446,550.863018729343
"Cass","TX",52102,23,"White",21,4977,421.940928270042
"Cass","TX",52102,23,"Black or African American",19,1474,1289.00949796472
"Cassia","ID",55990,35,"White",48,6805,705.363703159442
"Castro","TX",63002,59,"White",12,2378,504.625735912532
"Caswell","NC",49154,14,"White",25,2825,884.955752212389
"Caswell","NC",49154,14,"Black or African American",16,1274,1255.88697017268
"Catawba","NC",61516,54,"Black or African American",58,4042,1434.93320138545
"Catawba","NC",61516,54,"White",171,27475,622.38398544131
"Catoosa","GA",62405,57,"White",70,12692,551.528521903561
"Cattaraugus","NY",55632,34,"White",100,15638,639.467962655071
"Cayuga","NY",65579,67,"White",89,13848,642.692085499711
